tailpipe_co2_in_grams_mile_ft1,engine_displacement,engine_cylinders,turbocharger,fuel_type,class,transmission,drive
807.9090909,5.9,8.0,No,Regular,Special Purpose Vehicles,Automatic 3-Speed,4-Wheel or All-Wheel Drive
807.9090909,5.9,8.0,No,Regular,Standard Pickup Trucks,Automatic 3-Speed,4-Wheel or All-Wheel Drive
592.4666667,4.2,6.0,No,Regular,Standard Pickup Trucks,Manual 4-Speed,4-Wheel or All-Wheel Drive
807.9090909,5.9,8.0,No,Regular,Standard Pickup Trucks,Automatic 3-Speed,4-Wheel or All-Wheel Drive
634.7857143,4.2,6.0,No,Regular,Special Purpose Vehicles,Automatic 3-Speed,4-Wheel or All-Wheel Drive
522.7647059,2.5,4.0,No,Regular,Special Purpose Vehicles,Manual 5-Speed,4-Wheel or All-Wheel Drive
522.7647059,4.2,6.0,No,Regular,Special Purpose Vehicles,Manual 5-Speed,4-Wheel or All-Wheel Drive
1269.571429,5.2,12.0,No,Premium,Two Seaters,Manual 5-Speed,Rear-Wheel Drive
683.6153846,3.5,8.0,No,Premium,Special Purpose Vehicles,Automatic 4-Speed,4-Wheel or All-Wheel Drive
493.7222222,3.8,6.0,No,Regular,Large Cars,Automatic 4-Speed,Front-Wheel Drive
493.7222222,5.0,8.0,No,Regular,Midsize Cars,Automatic 4-Speed,Rear-Wheel Drive
493.7222222,5.0,8.0,No,Regular,Large Cars,Automatic 4-Speed,Rear-Wheel Drive
493.7222222,2.2,4.0,True,Premium,Two Seaters,Manual 5-Speed,Rear-Wheel Drive
467.7368421,2.2,4.0,True,Premium,Two Seaters,Automatic 3-Speed,Front-Wheel Drive
444.35,1.6,4.0,True,Premium,Compact Cars,Manual 5-Speed,4-Wheel or All-Wheel Drive
370.2916667,1.6,4.0,No,Regular,Compact Cars,Automatic 4-Speed,Front-Wheel Drive
355.48,1.6,4.0,No,Regular,Compact Cars,Manual 4-Speed,Front-Wheel Drive
403.9545455,1.6,4.0,True,Premium,Compact Cars,Manual 5-Speed,Front-Wheel Drive
329.1481481,1.6,4.0,No,Regular,Compact Cars,Manual 5-Speed,Front-Wheel Drive
467.7368421,3.0,6.0,No,Regular,Midsize Cars,Automatic 4-Speed,Rear-Wheel Drive
493.7222222,3.0,6.0,No,Regular,Midsize Cars,Manual 5-Speed,Rear-Wheel Drive
386.3913043,1.6,4.0,No,Regular,Small Station Wagons,Automatic 3-Speed,Front-Wheel Drive
329.1481481,1.6,4.0,No,Regular,Small Station Wagons,Manual 5-Speed,Front-Wheel Drive
467.7368421,2.2,4.0,True,Premium,Midsize Cars,Automatic 4-Speed,Front-Wheel Drive
403.9545455,2.2,4.0,No,Regular,Midsize Cars,Automatic 4-Speed,Front-Wheel Drive
370.2916667,2.2,4.0,No,Regular,Midsize Cars,Manual 5-Speed,Front-Wheel Drive
423.1904762,2.2,4.0,True,Premium,Midsize Cars,Manual 5-Speed,Front-Wheel Drive
444.35,2.2,4.0,No,Regular,Small Pickup Trucks,Automatic 4-Speed,Rear-Wheel Drive
493.7222222,2.6,4.0,No,Regular,Small Pickup Trucks,Automatic 4-Speed,Rear-Wheel Drive
444.35,2.2,4.0,No,Regular,Small Pickup Trucks,Manual 4-Speed,Rear-Wheel Drive
444.35,2.2,4.0,No,Regular,Small Pickup Trucks,Manual 5-Speed,Rear-Wheel Drive
493.7222222,2.6,4.0,No,Regular,Small Pickup Trucks,Manual 5-Speed,Rear-Wheel Drive
555.4375,2.6,4.0,No,Regular,Small Pickup Trucks,Automatic 3-Speed,4-Wheel or All-Wheel Drive
522.7647059,2.6,4.0,No,Regular,Small Pickup Trucks,Manual 5-Speed,4-Wheel or All-Wheel Drive
522.7647059,1.3,2.0,No,Regular,Two Seaters,Automatic 4-Speed,Rear-Wheel Drive
522.7647059,1.3,2.0,True,Regular,Two Seaters,Manual 5-Speed,Rear-Wheel Drive
493.7222222,1.3,2.0,No,Regular,Two Seaters,Manual 5-Speed,Rear-Wheel Drive
467.7368421,2.3,4.0,No,Regular,Compact Cars,Automatic 4-Speed,Rear-Wheel Drive
467.7368421,2.3,4.0,No,Regular,Midsize-Large Station Wagons,Automatic 4-Speed,Rear-Wheel Drive
363.5714286,2.5,5.0,No,Diesel,Subcompact Cars,Automatic 4-Speed,Rear-Wheel Drive
444.35,2.3,4.0,No,Premium,Subcompact Cars,Automatic 4-Speed,Rear-Wheel Drive
423.1904762,2.3,4.0,No,Premium,Subcompact Cars,Manual 5-Speed,Rear-Wheel Drive
467.7368421,2.6,6.0,No,Premium,Subcompact Cars,Automatic 4-Speed,Rear-Wheel Drive
467.7368421,2.6,6.0,No,Premium,Subcompact Cars,Manual 5-Speed,Rear-Wheel Drive
467.7368421,2.6,6.0,No,Premium,Compact Cars,Automatic 4-Speed,Rear-Wheel Drive
493.7222222,2.6,6.0,No,Premium,Compact Cars,Manual 5-Speed,Rear-Wheel Drive
493.7222222,3.0,6.0,No,Premium,Subcompact Cars,Automatic 4-Speed,Rear-Wheel Drive
493.7222222,3.0,6.0,No,Premium,Compact Cars,Automatic 4-Speed,Rear-Wheel Drive
493.7222222,3.0,6.0,No,Premium,Compact Cars,Manual 5-Speed,Rear-Wheel Drive
555.4375,3.0,6.0,No,Premium,Compact Cars,Automatic 4-Speed,Rear-Wheel Drive
555.4375,3.0,6.0,No,Premium,Midsize Cars,Automatic 4-Speed,Rear-Wheel Drive
555.4375,3.0,6.0,No,Premium,Midsize-Large Station Wagons,Automatic 4-Speed,Rear-Wheel Drive
592.4666667,4.2,8.0,No,Premium,Midsize Cars,Automatic 4-Speed,Rear-Wheel Drive
683.6153846,5.6,8.0,No,Premium,Compact Cars,Automatic 4-Speed,Rear-Wheel Drive
683.6153846,5.6,8.0,No,Premium,Midsize Cars,Automatic 4-Speed,Rear-Wheel Drive
634.7857143,5.6,8.0,No,Premium,Two Seaters,Automatic 4-Speed,Rear-Wheel Drive
423.1904762,3.8,6.0,No,Regular,Compact Cars,Automatic 4-Speed,Rear-Wheel Drive
493.7222222,5.0,8.0,No,Regular,Compact Cars,Automatic 4-Speed,Rear-Wheel Drive
493.7222222,5.0,8.0,No,Regular,Large Cars,Automatic 4-Speed,Rear-Wheel Drive
493.7222222,5.0,8.0,No,Regular,Midsize-Large Station Wagons,Automatic 4-Speed,Rear-Wheel Drive
423.1904762,3.0,6.0,No,Regular,Midsize Cars,Automatic 4-Speed,Front-Wheel Drive
467.7368421,3.8,6.0,No,Regular,Midsize Cars,Automatic 4-Speed,Front-Wheel Drive
423.1904762,3.0,6.0,No,Regular,Midsize-Large Station Wagons,Automatic 4-Speed,Front-Wheel Drive
493.7222222,3.8,6.0,No,Regular,Midsize-Large Station Wagons,Automatic 4-Speed,Front-Wheel Drive
467.7368421,3.0,6.0,No,Regular,Midsize-Large Station Wagons,Automatic 4-Speed,Front-Wheel Drive
493.7222222,3.8,6.0,No,Regular,Midsize-Large Station Wagons,Automatic 4-Speed,Front-Wheel Drive
423.1904762,2.3,4.0,No,Regular,Compact Cars,Automatic 3-Speed,Front-Wheel Drive
423.1904762,2.3,4.0,No,Regular,Compact Cars,Manual 5-Speed,Front-Wheel Drive
370.2916667,2.3,4.0,No,Regular,Compact Cars,Manual 5-Speed,Front-Wheel Drive
467.7368421,2.3,4.0,No,Regular,Compact Cars,Automatic 3-Speed,4-Wheel or All-Wheel Drive
370.2916667,1.6,4.0,No,Regular,Compact Cars,Automatic 3-Speed,Front-Wheel Drive
329.1481481,1.6,4.0,No,Regular,Compact Cars,Manual 5-Speed,Front-Wheel Drive
370.2916667,1.6,4.0,No,Regular,Small Station Wagons,Automatic 3-Speed,Front-Wheel Drive
329.1481481,1.6,4.0,No,Regular,Small Station Wagons,Manual 5-Speed,Front-Wheel Drive
522.7647059,2.9,6.0,No,Regular,Midsize Cars,Automatic 4-Speed,Rear-Wheel Drive
493.7222222,2.9,6.0,No,Regular,Midsize Cars,Manual 5-Speed,Rear-Wheel Drive
522.7647059,2.3,4.0,True,Regular,Compact Cars,Automatic 3-Speed,Rear-Wheel Drive
444.35,2.3,4.0,True,Regular,Compact Cars,Manual 5-Speed,Rear-Wheel Drive
403.9545455,2.0,4.0,No,Regular,Subcompact Cars,Automatic 3-Speed,Front-Wheel Drive
403.9545455,1.8,4.0,True,Regular,Subcompact Cars,Manual 5-Speed,Front-Wheel Drive
370.2916667,2.0,4.0,No,Regular,Subcompact Cars,Manual 5-Speed,Front-Wheel Drive
493.7222222,3.0,6.0,No,Regular,Compact Cars,Automatic 4-Speed,Front-Wheel Drive
493.7222222,3.0,6.0,No,Regular,Compact Cars,Manual 5-Speed,Front-Wheel Drive
329.1481481,1.5,4.0,No,Regular,Subcompact Cars,Automatic 3-Speed,Front-Wheel Drive
403.9545455,1.6,4.0,True,Regular,Subcompact Cars,Automatic 3-Speed,Front-Wheel Drive
286.6774194,1.5,4.0,No,Regular,Subcompact Cars,Manual 4-Speed,Front-Wheel Drive
296.2333333,1.5,4.0,No,Regular,Subcompact Cars,Manual 5-Speed,Front-Wheel Drive
355.48,1.6,4.0,True,Regular,Subcompact Cars,Manual 5-Speed,Front-Wheel Drive
355.48,1.5,4.0,No,Regular,Small Station Wagons,Automatic 3-Speed,Front-Wheel Drive
317.3928571,1.5,4.0,No,Regular,Small Station Wagons,Manual 5-Speed,Front-Wheel Drive
592.4666667,2.6,4.0,No,Regular,Special Purpose Vehicles,Automatic 4-Speed,4-Wheel or All-Wheel Drive
555.4375,2.6,4.0,No,Regular,Special Purpose Vehicles,Manual 5-Speed,4-Wheel or All-Wheel Drive
341.8076923,1.5,4.0,No,Regular,Subcompact Cars,Automatic 3-Speed,Front-Wheel Drive
341.8076923,1.5,4.0,No,Regular,Subcompact Cars,Manual 4-Speed,Front-Wheel Drive
317.3928571,1.5,4.0,No,Regular,Subcompact Cars,Manual 5-Speed,Front-Wheel Drive
423.1904762,2.0,4.0,No,Regular,Small Station Wagons,Automatic 3-Speed,Front-Wheel Drive
493.7222222,2.6,4.0,True,Premium,Subcompact Cars,Automatic 4-Speed,Rear-Wheel Drive
493.7222222,2.6,4.0,True,Premium,Subcompact Cars,Manual 5-Speed,Rear-Wheel Drive
403.9545455,2.0,4.0,No,Regular,Subcompact Cars,Automatic 3-Speed,Front-Wheel Drive
403.9545455,1.8,4.0,True,Regular,Subcompact Cars,Manual 5-Speed,Front-Wheel Drive
370.2916667,2.0,4.0,No,Regular,Subcompact Cars,Manual 5-Speed,Front-Wheel Drive
403.9545455,2.0,4.0,No,Regular,Small Pickup Trucks,Automatic 4-Speed,Rear-Wheel Drive
467.7368421,2.6,4.0,No,Regular,Small Pickup Trucks,Automatic 4-Speed,Rear-Wheel Drive
386.3913043,2.0,4.0,No,Regular,Small Pickup Trucks,Manual 5-Speed,Rear-Wheel Drive
444.35,2.6,4.0,No,Regular,Small Pickup Trucks,Manual 5-Speed,Rear-Wheel Drive
522.7647059,2.6,4.0,No,Regular,Standard Pickup Trucks,Automatic 4-Speed,4-Wheel or All-Wheel Drive
493.7222222,2.6,4.0,No,Regular,Standard Pickup Trucks,Manual 5-Speed,4-Wheel or All-Wheel Drive
493.7222222,2.4,4.0,No,Regular,Vans,Automatic 4-Speed,Rear-Wheel Drive
522.7647059,2.4,4.0,No,Regular,Vans,Automatic 4-Speed,Rear-Wheel Drive
403.9545455,2.0,4.0,No,Regular,Subcompact Cars,Automatic 4-Speed,Rear-Wheel Drive
467.7368421,3.0,6.0,No,Regular,Subcompact Cars,Automatic 4-Speed,Rear-Wheel Drive
403.9545455,2.0,4.0,No,Regular,Subcompact Cars,Manual 5-Speed,Rear-Wheel Drive
467.7368421,3.0,6.0,No,Regular,Subcompact Cars,Manual 5-Speed,Rear-Wheel Drive
493.7222222,3.0,6.0,True,Regular,Two Seaters,Automatic 4-Speed,Rear-Wheel Drive
467.7368421,3.0,6.0,No,Regular,Two Seaters,Automatic 4-Speed,Rear-Wheel Drive
493.7222222,3.0,6.0,No,Regular,Two Seaters,Manual 5-Speed,Rear-Wheel Drive
493.7222222,3.0,6.0,True,Regular,Two Seaters,Manual 5-Speed,Rear-Wheel Drive
467.7368421,3.0,6.0,No,Regular,Subcompact Cars,Automatic 4-Speed,Rear-Wheel Drive
493.7222222,3.0,6.0,No,Regular,Subcompact Cars,Manual 5-Speed,Rear-Wheel Drive
493.7222222,3.0,6.0,No,Regular,Compact Cars,Automatic 4-Speed,Front-Wheel Drive
467.7368421,3.0,6.0,No,Regular,Compact Cars,Manual 5-Speed,Front-Wheel Drive
493.7222222,3.0,6.0,No,Regular,Small Station Wagons,Automatic 4-Speed,Front-Wheel Drive
634.7857143,3.0,6.0,No,Regular,Special Purpose Vehicles,Automatic 4-Speed,4-Wheel or All-Wheel Drive
555.4375,2.4,4.0,No,Regular,Special Purpose Vehicles,Manual 5-Speed,4-Wheel or All-Wheel Drive
634.7857143,3.0,6.0,No,Regular,Special Purpose Vehicles,Manual 5-Speed,4-Wheel or All-Wheel Drive
